"WATER QUALITY DATA OF DRAINS, STPS IN ANDHRA PRADESH MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4082","BAJU NALLAH AT KHOKHYAL NEAR
BARAGE, CONFLUENCE POINT OF
SAHAR-KHAD AND KATHUA CITY
NALLAHS","DRAIN","JAMMU & KASHMIR","14","24","4.9","5.6","7.3","8.1","193","413","1.1","2.5","0.04","1.25","","","","","",""
""
"WATER QUALITY DATA OF DRAINS & STPS IN KERALA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5172","NELLIKUNNU BRIDGE AT
NELLIKUNNU, KASARAGOD","DRAIN","KERALA","","","3.0","6.8","6.6","8.1","","","2.2","5.1","","","2","4600","2","2","2","2"
"20017","STP NEAR PAMBA AT
PATHANAMTHITTA KERALA","STP","KERALA","","","","","6.7","9.6","","","22.0","48.0","","","","","","","",""
""
"WATER QUALITY DATA OF DRAINS IN MAHARASHTRA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2178","CHIKHALI NALA MEETS GODAVARI
RIVER, VILLAGE- CHIKHALI, TALUKA-
NASHIK, DISTRICT- NASHIK.","DRAIN","MAHARASHTRA","19","25","0.3","4.8","7.1","8.5","485","1642","4.2","60.0","0.30","5.00","4","43","39","540","2","2"
"2782","RABODI NALA, VILLAGE-
RABODI,TALUKA- THANE, DISTRICT-
THANE.","DRAIN","MAHARASHTRA","28","32","0.3","2.4","7.0","7.4","376","591","10.0","120.0","0.30","6.61","460","5400","1700","9200","",""
"2783","COLOUR CHEM NALA, VILLAGE-
MAJIWADA,TALUKA- THANE,
DISTRICT- THANE.","DRAIN","MAHARASHTRA","27","32","0.3","4.8","7.0","8.6","404","989","10.0","85.0","0.30","5.36","340","9200","1200","16000","",""
"2784","SANDOZ NALA, VILLAGE-
SANDOZBAUG,TALUKA- THANE,
DISTRICT- THANE.","DRAIN","MAHARASHTRA","28","32","0.3","4.6","7.2","7.7","519","753","6.0","115.0","0.30","7.44","700","16000","2800","16000","",""
"2785","BPT, NAVAPUR, VILLAGE- NAVAPUR,
TALUKA- PALGHAR, DISTRICT-
PALGHAR.","DRAIN","MAHARASHTRA","26","27","0.3","4.3","7.1","8.4","4125","8335","13.0","160.0","1.52","45.30","2","240","34","920","",""
"2786","TARAPUR MIDC NALA ( NEAR SUMP
1), VILLAGE- MIDC TARAPUR, TALUKA-
PALGHAR, DISTRICT- PALGHAR.","DRAIN","MAHARASHTRA","26","26","0.3","4.9","6.9","8.0","1741","3318","6.0","280.0","2.89","3.40","17","40","46","210","",""
"2787","TARAPUR MIDC NALA ( NEAR SUMP
2), VILLAGE- MIDC TARAPUR, TALUKA
PALGHAR, DISTRICT- PALGHAR.","-DRAIN","MAHARASHTRA","26","27","0.3","1.8","6.9","8.0","1868","3108","52.0","310.0","1.20","2.93","17","49","140","170","",""
"2788","TARAPUR MIDC NALA ( NEAR SUMP
3), VILLAGE- MIDC TARAPUR, TALUKA
PALGHAR, DISTRICT- PALGHAR.","-DRAIN","MAHARASHTRA","26","27","0.3","0.3","6.9","7.9","1844","3142","64.0","290.0","1.30","3.69","7","17","49","70","",""
"2789","NALA AT D/S OF AKLAI MANDIR,
VILLAGE- AKLAI, TALUKA-
MALSHIRAS, DISTRICT- SOLAPUR.","DRAIN","MAHARASHTRA","28","31","5.5","6.0","8.1","8.9","226","965","1.8","12.5","2.19","5.11","40","430","425","1800","4","12"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2790","PIMPAL-PANERI NALA AT RATNAGIRI
NEAR FINOLEX INDUSTRIES, VILLAGE-
YAHGANIGAON, TALUKA- RATNAGIRI,
DISTRICT- RATNAGIRI.","DRAIN","MAHARASHTRA","23","30","5.2","7.7","4.1","8.0","310","4928","2.8","3.8","0.30","1.10","6","12","24","58","2","2"
""
"WATER QUALITY DATA OF DRAINS & STPS IN ODISHA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
