"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
"1551","RIVER SIRSA U/S SITOMAJRI NALLAH","HIMACHAL
PRADESH","12","29","5.5","6.9","6.9","8.2","339","747","1.0","10.0","0.63","11.81","4","1600","46","1600","2","4"
"1552","RIVER SIRSA D/S NALAGARH BRIDGE","HIMACHAL
PRADESH","13","28","5.4","6.8","7.2","8.3","425","1382","1.0","9.2","1.65","14.49","4","1600","280","1600","2","11"
"1868","RIVER SIRSA D/S NALAGARH TOWN","HIMACHAL
PRADESH","13","28","5.3","6.7","7.3","8.3","432","1406","1.0","3.6","1.86","9.82","8","350","210","1600","2","2"
"4485","RIVER SIRSA U/S SANDHOLI NALLAH","HIMACHAL
PRADESH","13","29","5.1","6.8","7.1","8.0","418","1451","1.0","12.0","0.67","10.12","7","1600","240","1600","2","7"
"4487","RIVER SIRSA D/S HOUSING BOARD NALLAH","HIMACHAL
PRADESH","13","29","2.9","6.2","6.7","8.1","534","1368","1.0","70.0","2.30","10.20","6","1600","280","1600","2","17"
"4489","RIVER SIRSA AFTER CONF. TO RIVER RATTA","HIMACHAL
PRADESH","13","30","5.3","6.8","7.2","8.0","501","1393","1.0","13.0","2.24","10.06","2","1600","26","1600","2","14"
"30012","RIVER SARSA AT BADDI , ,GHANOLI VILLAGE) PUNJAB","PUNJAB","16","34","1.5","5.8","7.7","8.0","813","1324","5.0","15.0","1.40","3.34","3300","170000","7900","1700000","490","1700"
"4161","RIVER CONFLUENCE POINT OF SARSA NADI WITH WITH
SUTLEJ, NR VILL ASPUR, ROOPNAGAR","PUNJAB","15","32","5.6","10.7","7.3","8.5","300","475","1.0","1.6","1.20","9.60","38","400","150","1700","",""
"2616","RIVER BAIRA SIUL D/S SURGANI","HIMACHAL
PRADESH","10","15","7.9","9.1","7.2","8.0","148","421","1.0","1.7","0.30","5.81","4","490","22","2800","2","2"
"2607","SUKETI KHAD BEFORE CONF. WITH RIVER BEAS","HIMACHAL
PRADESH","9","32","6.5","8.5","7.4","8.4","150","408","1.0","2.8","0.32","1.44","31","540","220","1600","2","2"
"2608","RIVER BINWA AT D/S PAPROLA/BAIJNATH","HIMACHAL
PRADESH","14","21","7.5","9.2","7.1","7.9","74","237","1.0","1.6","0.41","2.16","5","790","94","3500","2","2"
"2609","NEUGAL KHAD D/S THURAL","HIMACHAL
PRADESH","15","20","8.7","9.1","7.2","7.9","89","466","1.0","2.2","0.41","4.62","2","790","33","3500","2","2"
"2610","RIVER SPITI BEFORE CONF.WITH RIVER SUTLEJ AT KHAB","HIMACHAL
PRADESH","6","12","9.4","9.8","7.6","8.4","126","470","1.0","1.0","0.32","0.97","7","27","26","920","2","2"
"2612","RIVER BASPA U/S RESERVOIR BASPA HEP AT KUPPA","HIMACHAL
PRADESH","6","13","9.5","9.8","7.8","8.5","66","360","1.0","1.0","0.32","0.89","7","70","33","1600","2","2"
"5769","Banoi khad at kalapul on cant road Dharamshala","HIMACHAL
PRADESH","13","18","9.0","9.2","6.7","8.3","147","280","1.0","1.9","0.30","3.47","4","320","21","1700","2","2"
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"2755","RIVER BANGANGA (BATHING GHAT), KATRA,","JAMMU &
KASHMIR","9","20","4.1","7.5","8.0","8.8","207","356","1.0","3.7","0.03","1.81","","","2400","2400","",""
"2756","RIVER BANGANGA (IN FRONT OF PONY SHED NEAR
REASI BRIDGE)KATRA","JAMMU &
KASHMIR","9","24","3.4","7.2","7.8","8.5","202","456","2.3","3.7","0.05","1.98","","","2200","2200","",""
"2752","RIVER BASANTER U/S (R.H.S) SAMBA (BELOW NH-1A
BRIDGE),","JAMMU &
KASHMIR","12","28","5.1","7.5","7.6","8.5","210","520","1.0","2.0","0.02","0.84","","","14000","14000","",""
"2753","RIVER BASANTER D/S(R.H.S.) SAMBA (AT CHAK MANGA
GUJJAR","JAMMU &
KASHMIR","12","29","2.6","7.8","7.7","8.5","196","632","1.0","4.5","0.02","1.89","30000","30000","900","49000","",""
"2747","RIVER TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI
BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING
SITE, J&K","JAMMU &
KASHMIR","14","29","4.4","7.5","7.9","8.6","170","376","1.0","2.4","0.02","1.16","60000","60000","1200","120000","",""
"2748","RIVER CHENAB AT L.H.S.(BELOW BRIDGE CHENAB)","JAMMU &
KASHMIR","9","17","7.0","7.8","7.3","7.6","128","166","1.0","1.0","0.02","0.32","","","","","",""
"2749","RIVER CHENAB AT BLIND CURVE SHAMSHAN GHAT (1.5
KM U/S FROM SPOT)","JAMMU &
KASHMIR","9","17","7.0","7.4","7.3","7.5","130","156","1.0","1.0","0.02","0.32","","","","","",""
"2750","RIVER CHENAB AT CHADRA GAON VIEW POINT(4 KM
U/S FROM SPOT)","JAMMU &
KASHMIR","9","17","7.1","7.8","7.2","7.4","100","146","1.0","1.0","0.02","0.32","","","","","",""
