"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5632","Malebhaat Lake, Tiswadi","LAKE","GOA","26","30","4.0","7.9","6.7","8.5","848","67500","1.0","1.9","0.32","0.42","230","1700","490","2800","70","240"
"5633","Gawali-Maula Lake, Tiswadi","LAKE","GOA","26","30","1.0","6.0","6.0","7.5","46","1867","1.0","5.6","0.32","0.42","310","790","580","1700","79","220"
"5634","Panchami Lake","LAKE","GOA","28","30","4.8","7.7","5.7","7.0","35","3413","1.0","1.9","0.32","0.44","460","1700","700","3500","94","460"
"5636","Tarvalem Lake","LAKE","GOA","27","30","5.4","7.3","6.3","7.9","34","582","1.0","1.9","0.32","0.92","130","1300","170","2400","70","280"
"5638","Macasana Lake","LAKE","GOA","27","30","1.2","6.2","6.4","8.1","93","7617","1.0","5.6","0.32","2.22","130","2700","240","5400","49","170"
"5639","Kamala Lake (Komollam Tollem)","LAKE","GOA","27","30","0.3","6.8","6.4","7.9","49","7360","1.7","6.8","0.32","2.10","790","2400","1300","5400","110","280"
"5640","Tarvale Lake","LAKE","GOA","27","30","4.1","7.2","5.3","7.1","12","345","1.0","1.9","0.32","0.32","130","1300","220","2800","70","220"
"5641","Dhulpe Lake","LAKE","GOA","27","30","2.5","7.1","6.0","7.7","90","6413","1.0","1.8","0.32","1.72","130","790","320","1500","70","170"
"5642","Betal Temple Lake","LAKE","GOA","27","30","3.0","8.1","6.0","7.2","59","6200","1.0","5.0","0.32","1.02","460","2400","1100","5400","110","540"
"5643","Maimollem Lake","LAKE","GOA","27","31","2.5","13.0","7.1","9.5","572","6036","1.1","4.6","0.32","4.63","350","3500","920","9200","84","540"
"5654","Nanda Lake, Quepem Goa","LAKE","GOA","28","30","4.8","7.2","6.3","7.9","54","6795","1.0","1.8","0.32","0.72","490","2400","1100","5400","110","490"
"5655","Canturlim Lake, Tiswadi","LAKE","GOA","26","30","2.0","7.8","5.6","7.7","99","66520","1.1","5.8","0.32","0.82","790","2700","1300","3400","110","330"
"5657","Parra Lake, Bardez","LAKE","GOA","27","30","4.8","8.3","6.5","8.2","20","2925","1.0","1.9","0.32","2.87","79","2400","130","9200","23","170"
"5658","Khandepar Lake, Bicholim","LAKE","GOA","26","31","4.1","8.6","5.4","8.1","44","1327","1.0","2.6","0.32","1.22","13","2400","23","5400","7","170"
"5659","Durga Lake","LAKE","GOA","27","30","2.8","7.0","6.7","7.9","165","30280","1.2","4.8","0.32","0.42","230","1700","330","3500","70","260"
"5660","Udden Lake","LAKE","GOA","27","30","2.9","7.3","6.1","7.5","25","5785","1.0","4.3","0.32","0.42","700","2700","1100","5400","110","390"
"5661","Talaulim Lake (Talsal lake)","LAKE","GOA","27","30","4.7","7.8","5.9","7.0","34","8312","1.0","1.9","0.32","0.39","330","2400","790","5400","70","540"
"5662","Bandolem Lake","LAKE","GOA","28","30","1.4","5.1","6.4","8.4","233","19420","1.0","5.1","0.32","0.73","330","2400","2100","5400","130","240"
"5663","Orlim Lake","LAKE","GOA","28","30","4.1","8.1","6.6","8.1","151","2351","1.0","3.4","0.32","2.02","78","1100","170","2200","49","140"
"5664","Sapu Tollem (Tollea Bandar)","LAKE","GOA","26","30","3.5","7.9","6.3","7.9","87","9586","1.0","3.6","0.32","0.92","230","1700","330","3400","23","200"
"5665","Vodle Tollem","LAKE","GOA","27","30","0.3","4.7","6.2","7.8","205","5613","1.9","6.0","0.32","0.52","130","1700","220","3500","49","280"
