"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5058","REGULA KUNTA, MIYAPUR (V),
SHERILINGAMPALLY (M), RANGA
REDDY (D)","LAKE","TELANGANA","25","28","0.3","4.0","6.9","8.1","1028","1598","2.0","8.0","2.10","9.50","17","49","350","920","2","14"
"5059","GOPI CHERUVU,
LINGAMPALLY(V),
SHERILINGAMPALLY(M), RANGA
REDDY(D)","LAKE","TELANGANA","25","28","0.3","4.0","6.9","7.8","810","2064","2.0","12.0","2.00","16.30","17","40","350","920","2","21"
"5060","CHAKALAVANI CHERUVU ,
LINGAMPALLY(V),
SHERILINGAMPALLY(M), RANGA
REDDY(D)","LAKE","TELANGANA","25","29","0.3","3.2","7.0","7.6","777","1788","4.0","18.0","4.70","12.00","17","47","350","1600","2","24"
"5061","PEDDAKUDI CHERUVU, MAQTA
MAHBOOBPET(V),
SHERILINGAMPALLY(M), RANGA
REDDY(D)","LAKE","TELANGANA","25","28","0.3","2.0","7.0","7.5","514","1443","4.0","14.0","3.62","16.20","4","40","220","920","2","20"
"5062","GURUNATH CHERUVU, MIYAPUR
(V), SHERILINGAMPALLY(M),
RANGA REDDY (D)","LAKE","TELANGANA","24","27","0.3","2.4","6.8","8.2","846","1225","2.0","8.0","3.30","13.60","13","33","240","430","2","14"
"5063","NANAKRAM KUNTA,
NANAKRAMGUDA(V),
SHERILINGAMPALLY(M), RANGA
REDDY (D)","LAKE","TELANGANA","25","29","0.3","6.1","6.9","7.7","370","1932","2.0","10.0","2.50","13.20","11","46","210","540","2","7"
"5112","KAMUNI CHERUVU, MOOSAPET
(V), KUKATPALLY (M),MEDCHAL-
MALKAJGIRI (D)","LAKE","TELANGANA","17","25","0.3","0.3","7.0","7.6","1223","1702","6.0","14.0","4.66","19.20","17","79","280","920","2","12"
"5113","CHINNA CHERUVU,
RAMANTHAPUR (V), UPPAL
(M),MEDCHAL- MALKAJGIRI (D)","LAKE","TELANGANA","22","29","0.3","1.3","7.0","7.7","883","1474","5.2","16.0","2.60","6.84","12","33","250","540","2","14"
"5116","KOTHA CHERUVU (NOVATEL
LAKE), KHANAMET (V),
SERILINGAMPALLY (M),
RANGAREDDY(D)","LAKE","TELANGANA","24","28","0.3","3.6","7.0","7.9","791","1830","4.0","8.0","2.20","15.30","14","40","350","1600","2","14"
"5121","PALE CHERUVU, KATEDHAN (V),
RAJENDRANAGAR (M),
RANGAREDDY (D)","LAKE","TELANGANA","25","25","0.3","1.2","7.2","8.7","718","1383","4.0","16.0","6.20","9.80","17","37","350","540","2","6"
"5124","TCS ENERGY PARK
LAKE,GACHIBOWLI(V),
SERILINGAMPALLY (M),
RANGAREDDY (D)","LAKE","TELANGANA","24","28","2.5","6.0","7.1","7.9","518","1062","1.0","4.0","0.80","7.80","2","40","32","540","2","5"
"5126","BATHULA KUNTA, ANMAGAL
(V), HAYATHNAGAR (M),
RANGAREDDY (D)","LAKE","TELANGANA","24","28","0.3","5.0","7.1","8.6","600","2614","1.0","20.0","4.00","11.28","13","47","210","920","2","21"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5128","PALLE CHERUVU, MAILARDEV
PALLY (V), RAJENDRANAGAR
(M), RANGAREDDY (D)","LAKE","TELANGANA","24","29","0.3","2.2","6.9","8.1","1242","2429","2.4","14.0","1.20","27.67","17","47","430","920","2","27"
"5131","YELLAMMA CHERUVU,
MANIKONDA (V), RAJENDRA
NAGAR (M), RANGAREDDY (D)","LAKE","TELANGANA","25","29","0.3","1.5","6.8","8.0","776","2155","4.0","16.0","2.20","13.60","20","49","170","920","2","17"
"5132","MALKA CHERUVU, RAIDURG (V),
SERLINGAMPALLY (M),
RANGAREDDY (D)","LAKE","TELANGANA","25","32","2.9","4.3","7.0","7.9","974","1574","17.0","42.0","8.00","79.00","2","7","21","1600","",""
"5133","CHANDANA CHERUVU,
JILLELAGUDA (V), RANGAREDDY
(D)","LAKE","TELANGANA","25","28","0.3","3.4","6.9","8.4","1059","1976","4.0","14.0","5.59","18.00","17","49","350","920","2","14"
"5134","MANTHRALA CHERUVU,
MEERPET (V), RANGAREDDY (D)","LAKE","TELANGANA","25","29","0.3","4.9","7.0","7.9","790","1924","2.4","14.0","6.00","29.30","17","47","350","920","2","17"
"5498","Suleman cheruvu, kattedan (V),
rajendranagar (M), Rangareddy
dist","LAKE","TELANGANA","25","29","0.3","2.5","6.8","7.9","1040","2582","3.0","12.0","6.84","23.80","21","49","350","920","2","12"
"2344","NALLA CHERUVU, UPPAL (V &
M), MEDCHAL DISTRICT","POND","TELANGANA","25","28","0.3","0.3","7.1","8.0","852","1886","6.0","14.0","1.30","19.20","22","70","350","920","2","20"
"2345","SAI CHERUVU, DESHAIPET(V),
WARANGAL (M&D)","POND","TELANGANA","27","28","0.3","2.4","6.8","8.2","1351","6890","4.0","16.0","1.40","12.51","17","49","350","540","2","14"
"2346","BHADRAKALI CHERUVU, NEAR
BHADRAKALI TEMPLE,
HANUMAKONDA","POND","TELANGANA","26","28","3.2","6.0","7.0","8.5","440","894","1.0","3.2","1.24","3.30","2","2","32","49","2","2"
"2347","ASANI
KUNTA,BOLLARAM(V),JINNARA
M(M), SANGAREDDY(D)","POND","TELANGANA","18","22","0.3","0.3","2.0","7.2","4420","6460","4.9","56.0","19.46","110.52","6","10","84","170","5","13"
"2357","DURGAM CHERUVU , RAIDURG
(V), SERILINGAMPALLY (M),
RANGAREDDY (D)","POND","TELANGANA","24","26","0.3","4.7","6.9","8.1","834","1364","2.0","6.4","2.84","12.20","2","38","21","540","2","17"
"2359","PEDDA CHERUVU, NACHARAM
(V), UPPAL (M), MEDCHAL
DISTRICT","POND","TELANGANA","25","27","0.3","3.0","6.9","8.1","430","1795","4.2","14.0","5.20","17.30","13","120","350","920","2","17"
"3075","RANGADHAMINI KUNTA,
KUKATPALLY(V&M), MEDCHAL -
MALKAJGIRI (D)","POND","TELANGANA","25","27","0.3","0.3","6.7","8.0","524","1732","1.0","14.0","3.60","29.90","22","63","350","920","2","12"
"3076","AMBER CHERUVU, KUKATPALLY
(V & M), MEDCHAL- MALKAJIGIRI","POND","TELANGANA","25","27","0.3","4.0","7.0","8.0","780","2029","5.0","14.0","4.80","9.00","17","140","350","920","2","10"
"3077","KAPRA CHERUVU, KAPRA (V),
KEESARA (M)","POND","TELANGANA","25","28","0.3","5.0","6.8","8.2","774","1220","1.8","10.0","2.16","11.30","11","42","110","350","2","11"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3078","PRAGATHINAGAR
CHERUVU,PRAGATHINAGAR(V),
KUKATPALLY, MEDCHAL-
MALKAJIGIRI(D)","POND","TELANGANA","25","28","0.3","3.8","6.9","7.9","819","1466","3.0","12.0","2.30","10.20","2","49","70","540","2","26"
"4222","KONDAGATTU TEMPLE- KONERU,
JAGITIYAL","POND","TELANGANA","25","26","1.8","5.8","7.0","8.3","429","1027","1.2","4.6","0.72","3.50","2","21","32","350","2","2"
"4223","VEMULAWADA TEMPLE -
KONERU, VEMULAWADA (V &
M) KARIMNAGAR","POND","TELANGANA","25","26","1.0","5.9","6.9","8.1","601","1256","1.0","4.8","0.57","4.54","2","21","39","280","2","2"
"4231","RAYAM CHERUVU,
BONTHAPALLY (V),
GUMMADIDALA (M),
SANGAREDDY DISTRICT","POND","TELANGANA","16","28","6.0","7.6","6.3","8.5","1224","1615","3.5","4.4","10.16","48.20","4","6","38","63","2","4"
"4675","LOTUS POND, HAKIMPET (V),
SHAIK PET (M), HYDERABAD (D)","POND","TELANGANA","24","27","1.0","5.1","7.3","8.8","729","1006","2.2","5.8","1.30","6.48","11","87","280","540","2","7"
"4689","SUNNAM KUNTA, JUBILLE HILLS,
HYDERABAD","POND","TELANGANA","24","27","0.3","6.1","6.8","7.9","322","959","1.0","8.0","1.30","11.74","2","25","38","540","2","6"
"4700","BATHUKAMMA KUNTA, B.N.
REDDY
NAGAR,HAYATHNAGAR(M),
RANGAREDDY(D)","POND","TELANGANA","25","28","2.0","5.8","6.7","7.2","243","631","1.0","4.2","1.00","8.00","2","17","34","350","2","2"
"5111","NAGIRADDY KUNTA(YAPRAL
CHERUVU), ALWAL (V&M),
MEDCHAL- MALKAJGIRI(D)","POND","TELANGANA","17","25","0.3","2.8","7.2","8.0","1186","2156","2.2","10.0","4.00","18.00","21","46","240","920","2","14"
"5114","SHANTHISARAVOR POND,
GACHIBOWLI (V),
SERLINGAMPALLY (M),
RANGAREDDY (D)","POND","TELANGANA","25","29","3.0","5.5","6.6","7.4","436","873","1.2","3.0","0.46","3.26","2","21","26","220","2","2"
"5115","RAJMAHAMAD KUNTA-MASKA
KUNTA, IZZATHNAGAR (V),
SERILINGAMPALLY (M),
RANGAREDDY (D).","POND","TELANGANA","25","28","0.3","0.3","6.9","7.8","753","2126","6.0","10.0","3.30","15.30","17","70","350","1600","2","17"
"5118","KOTHA KUNTA, HAFEEZPET (V),
SHAIKPET (M), RANGAREDDY (D)","POND","TELANGANA","25","28","0.3","3.6","6.7","7.4","491","732","2.4","8.0","2.41","13.50","11","32","210","920","2","13"
"5119","KAIDAMMA KUNTA, HAFEEZPET
(V), SERILINGAMPALLY (M),
RANGAREDDY (D)","POND","TELANGANA","25","27","0.3","2.7","6.8","7.9","427","1626","4.0","12.0","4.80","14.40","21","40","280","920","2","11"
"5120","THAMMIDI KUNTA, KHANAPET
(V), SERLINGAMPALLY (M),
RANGAREDDY (D)","POND","TELANGANA","24","28","0.3","2.2","6.9","8.0","814","1604","3.4","14.0","3.20","14.20","13","34","220","540","2","12"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5125","MONDIKUNTA, KHANAMET (V),
SERILINGAMPALLY (M),
RANGAREDDY (D)","POND","TELANGANA","25","27","0.3","1.0","6.7","7.1","502","1463","4.0","18.0","2.80","12.10","17","33","350","540","2","7"
"5127","KUMMARI KUNTA, ANMAGAL
(V), HAYATHNAGAR (M),
RANGAREDDY (D)","POND","TELANGANA","25","28","0.3","3.8","6.3","8.2","554","3760","2.8","20.0","4.70","8.64","11","33","280","920","2","21"
"5129","ERRA KUNTA, LAXMIGUDA (V),
RAJENDRANAGAR (M),
RANGAREDDY (D)","POND","TELANGANA","24","28","0.3","0.3","6.8","8.0","1334","2446","6.2","14.0","9.50","21.80","9","58","350","920","2","32"
"5130","PATHI KUNTA, BUDVEL (V),
RAJENDRANAGAR (M),
RANGAREDDY (D)","POND","TELANGANA","25","29","0.3","6.0","6.8","8.3","575","3420","1.0","8.0","0.93","14.60","12","33","350","920","2","14"
"1447","DHARMASAGAR TANK,
DHARMASAGAR(V&M),
HANUMAKONDA DISTRICT","TANK","TELANGANA","25","28","5.8","6.2","7.5","8.5","322","523","1.0","1.8","0.32","2.90","2","2","24","49","2","2"
"1464","PEDDA CHERUVU, BIBINAGAR
(V&M),YADADRI BHUVANAGIRI
(D)","TANK","TELANGANA","17","24","6.0","7.5","7.2","8.2","1143","1564","3.0","4.4","25.15","52.20","4","5","38","58","2","4"
"1780","GANDIGUDEM TANK,
GANDIGUDEM(V),AMEENPUR(M
), SANGAREDDY(D)","TANK","TELANGANA","18","24","5.0","6.2","7.1","8.2","1530","2190","3.2","5.2","28.24","67.14","4","6","47","84","4","5"
"1783","KISTAREDDYPET TANK,
KISTAREDDYPET(V),AMEENPUR(
M),SANGAREDDY(D)","TANK","TELANGANA","17","21","5.8","7.2","6.5","8.0","1263","2096","3.0","5.0","27.09","49.23","6","9","31","36","4","6"
"1788","LARGE TANK, SAROORNAGAR (V
& M), RANGAREDDY DISTRICT","TANK","TELANGANA","24","28","0.3","1.0","7.0","8.2","899","1689","5.8","14.0","8.30","23.50","21","49","350","920","2","17"
"2343","PREMAJIPET TANK ,
SHAMSHABAD","TANK","TELANGANA","26","29","0.3","2.2","7.0","8.4","688","3270","4.6","12.0","10.02","15.50","14","47","350","1600","4","14"
"2348","KHAZIPALLY
TANK,KHAZIPALLY(V),
JINNARAM(M), SANGAREDDY(D)
SANGAREDDY","TANK","TELANGANA","19","23","6.5","7.1","6.8","7.4","724","1835","3.1","3.9","14.08","40.30","2","5","10","24","2","4"
"2358","MALLAPUR TANK , MEDCHAL
MALKAJGIRI","TANK","TELANGANA","25","28","0.3","0.3","6.7","8.0","2012","9120","10.0","18.0","11.28","12.80","25","430","540","920","4","11"
"3069","SHAMEERPET TANK,
SHAMEERPET(V&M), MEDCHAL-
MALKAJIGIRI(D)","TANK","TELANGANA","25","27","4.8","6.0","7.0","8.1","664","889","1.4","3.8","0.46","2.90","2","17","21","94","2","2"
"3071","LANGARHOUSE TANK,
GOLCONDA (V&M) ,HYDERABAD
(D)","TANK","TELANGANA","25","28","0.3","0.3","7.1","7.8","870","1782","4.0","12.0","3.80","12.80","17","210","430","1600","2","15"
"3084","WADEPALLI CHERUVU,
WADEPALLY (V), HANAMKONDA
(M&D)","TANK","TELANGANA","25","28","5.3","6.2","7.0","8.2","480","663","1.0","3.0","1.09","3.80","2","27","33","350","2","2"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3085","CHINNA WADEPALLI CHERUVU,
ENUMAMULA(V),
WARANGAL(M&D)","TANK","TELANGANA","26","28","0.3","4.0","7.2","8.3","685","1432","2.0","12.0","1.26","8.60","17","39","350","540","2","8"
"3086","SAKI TANK, PATANCHERU (V &
M), SANGAREDDY DISTRICT","TANK","TELANGANA","16","23","6.2","7.2","7.3","8.2","708","1205","3.3","4.0","25.09","38.10","4","7","39","48","2","6"
"4228","PEDDA CHERUVU/IBRAHIM
CHERUVU, IBRAHIMBAGH,
RAJENDRANAGAR(M),
RANGAREDDY DISTRICT","TANK","TELANGANA","25","28","0.3","2.6","7.1","7.8","823","1622","4.0","16.0","3.80","16.80","17","49","350","920","2","9"
"4230","KISTAIPALLY CHERUVU,
KISTAIPALLY (V), JINNARAM(M),
SANGAREDDY DISTRICT","TANK","TELANGANA","16","27","3.3","6.8","6.6","8.0","2506","5670","4.2","13.0","29.30","130.20","6","8","49","84","4","6"
"4233","GADDAPOTHARAM CHERUVU,
GADDAPOTHARAM (V),
JINNARAM (M), SANGAREDDY
DISTRICT","TANK","TELANGANA","16","27","5.0","6.2","6.4","8.3","2466","3950","4.4","5.9","50.52","112.12","4","8","38","70","4","6"
"4237","MUNDLA KATWA,MOOSAPET(V),
KUKATPALLY (M),MEDCHAL -
MALKAJGIRI (D)","TANK","TELANGANA","25","28","0.3","4.1","6.7","8.4","511","1693","1.0","8.0","1.40","10.60","11","39","130","430","2","6"
"4238","AMEENPUR CHERUVU,
AMEENPUR (V & M),
SANGAREDDY DISTRICT","TANK","TELANGANA","24","25","6.0","6.8","7.1","8.1","1095","1613","2.8","4.4","14.22","68.23","6","8","47","84","4","6"
"4239","MAHABOOBSAGAR TANK,
SANGAREDDY(V&M),
SANGAREDDY DISTRICT","TANK","TELANGANA","22","25","6.1","7.4","6.8","8.3","722","1432","3.2","4.6","20.13","45.22","4","7","41","84","2","6"
"4240","MUTHANGI TANK (V),
PATANCHERU (M),SANGAREDDY
DISTRICT","TANK","TELANGANA","22","24","5.2","7.2","6.2","8.4","1238","2164","3.6","5.3","30.15","60.11","6","8","33","41","4","6"
"4241","CHITKUL TANK,CHITKUL (V),
PATANCHERU (M), SANGAREDDY
DISTRICT","TANK","TELANGANA","23","25","5.1","7.1","6.3","8.1","1124","2457","3.6","6.0","35.22","65.26","5","8","47","79","4","6"
"4242","LAKADARAM CHERUVU,
LAKDARAM (V), PATANCHERU
(M),SANGAREDDY DISTRICT.","TANK","TELANGANA","23","25","5.7","7.0","6.5","7.7","1108","2517","3.7","7.8","26.23","69.30","6","8","33","40","4","6"
"4243","ISNAPUR
TANK,PASHAMYLARAM(V),
PATANCHERU (M), SANGAREDDY
DISTRICT","TANK","TELANGANA","24","25","2.9","5.6","2.0","7.6","1739","9870","12.0","66.0","36.36","111.49","7","8","17","84","4","5"
"4244","ERDHANOOR TANK,
ERDHANOOR (V), PATANCHERU
(M), SANGAREDDY DISTRICT","TANK","TELANGANA","23","25","6.0","7.6","7.1","7.8","1013","2196","4.0","4.8","30.30","54.26","4","6","33","43","2","5"
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4245","MALLEPALLY TANK, MALLEPALLY
(V), KONDAPUR (M),
SANGAREDDY DISTRICT","TANK","TELANGANA","24","25","5.5","6.6","6.5","8.0","1126","2827","3.5","5.2","42.03","75.22","2","4","22","31","2","2"
"4247","MUCHARLA NAGARAM
CHERUVU, NAGARAM (V),
HASANPARTHY (M),
HANUMAKONDA , WARANGAL","TANK","TELANGANA","25","28","2.0","6.2","7.4","8.3","429","996","1.0","4.2","1.70","12.40","4","33","110","430","2","4"
"4302","RUDRARAM TANK, RUDRARAM
(V), PATANCHERU (M),
SANGAREDDY DISTRICT","TANK","TELANGANA","22","25","5.9","7.1","6.7","8.1","1506","3210","4.0","5.2","30.25","88.28","6","8","21","38","4","5"
"4703","BULBUL KUNTA, LAXMIGUDA,
RAJENDRANAGAR (M),
RANGAREDDY DISTRICT","TANK","TELANGANA","28","29","0.3","0.3","7.2","7.7","1800","2406","12.0","16.0","12.28","13.50","17","38","280","540","4","14"
"4704","PEDDACHERUVU,
MANSOORABAD (V),
SAROORNAGAR(M),
RANGAREDDY (D)","TANK","TELANGANA","24","29","0.3","3.8","6.8","8.0","574","1868","3.8","18.0","2.42","9.84","14","34","350","540","2","45"
"1727","POND AT LAXMI NARAYAN BARI
PALACE COMPOUND, TRIPURA","LAKE","TRIPURA","24","31","5.1","5.8","7.0","7.7","132","193","1.2","1.9","0.80","1.60","38","63","110","280","",""
"1728","RUDRASAGAR LAKE,
SONUMURA, TRIPURA","LAKE","TRIPURA","25","31","5.2","5.8","7.1","7.8","135","193","1.3","2.2","1.00","1.90","41","84","120","350","",""
"3391","DHAMBUR LAKE, DHALAI","LAKE","TRIPURA","24","31","5.4","5.9","7.0","7.4","121","169","1.2","1.7","0.80","1.30","39","58","110","240","",""
"4192","MBB COLLEGE LAKE","LAKE","TRIPURA","25","31","5.3","5.9","6.9","7.5","121","183","1.2","1.7","0.80","1.10","39","49","110","170","",""
"4193","DIMASAGAR LAKE, NORTH GATE","LAKE","TRIPURA","25","31","5.2","5.8","7.0","7.5","122","171","1.2","1.8","0.80","1.10","38","58","110","220","",""
"4642","RUDRASAGAR NORTH
LAKE,TRIPURA","LAKE","TRIPURA","24","31","5.3","5.9","6.9","7.7","119","174","1.2","1.9","0.80","1.10","43","63","170","350","",""
"4643","RUDRASAGAR EAST LAKE
TRIPURA","LAKE","TRIPURA","24","31","5.2","5.9","6.8","7.7","119","181","1.2","1.9","0.80","1.20","43","63","170","280","",""
"4644","RUDRASAGAR WEST LAKE
TRIPURA","LAKE","TRIPURA","24","31","5.3","5.8","6.9","7.7","108","172","1.1","1.7","0.80","1.20","43","58","150","280","",""
"3392","SHIPAHIJALA POND, WEST
TRIPURA","POND","TRIPURA","24","31","5.2","5.9","6.9","7.9","127","189","1.2","1.9","1.00","1.80","39","63","130","280","",""
"3393","BRAMAKUNDA POND, WEST
TRIPURA","POND","TRIPURA","25","32","5.2","5.8","7.0","7.8","127","194","1.2","2.2","1.00","1.80","41","63","150","280","",""
"3394","KALYANSAGAR AT MATARBARI,
GOMATI TRIPURA","POND","TRIPURA","24","32","5.3","6.1","6.9","7.7","152","232","1.3","2.5","1.10","1.90","48","63","170","350","",""
"3395","MAHADEB DIGHI, GOMATI
TRIPURA","POND","TRIPURA","24","31","5.2","5.9","6.9","7.6","128","179","1.2","1.8","1.00","1.70","43","63","130","280","",""
"3396","JAGANNATH DIGHI, GOMATI
TRIPURA","POND","TRIPURA","24","31","5.2","5.7","6.9","7.6","132","182","1.2","1.8","0.90","1.40","43","63","130","280","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4194","LALBAHADUR DIGHI POND","POND","TRIPURA","25","31","5.4","5.9","6.8","7.5","116","163","1.2","1.7","0.80","1.10","38","58","110","210","",""
"4195","DURGABARI POND","POND","TRIPURA","25","31","5.3","6.1","6.8","7.5","109","173","1.1","1.7","0.80","1.10","38","58","110","210","",""
"4196","RADHANAGAR POND","POND","TRIPURA","25","32","4.4","5.4","6.3","7.0","141","232","2.8","3.8","0.90","1.90","58","110","240","350","",""
"4197","CHATURDASH DEBATA BARI
POND","POND","TRIPURA","25","31","5.3","5.9","6.9","7.7","118","179","1.1","1.8","0.80","1.10","41","63","150","280","",""
"4221","KATAL DIGHI POND","POND","TRIPURA","25","31","5.1","5.8","7.1","7.7","128","175","1.2","1.7","0.70","1.10","39","58","110","220","",""
"1364","RAMGARH LAKE, GORAKHPUR
U.P.","LAKE","UTTAR PRADESH","14","25","7.9","8.6","8.0","8.7","386","462","3.6","4.4","","","16000","22000","24000","30000","",""
"2499","SAMASPUR JHEEL, RAEBARELI","LAKE","UTTAR PRADESH","21","25","7.0","7.9","8.1","8.2","283","423","3.3","3.9","0.80","0.90","2100","2600","4700","6300","",""
"5514","SOOR SAROVAR BIRD
SANCTUARY","LAKE","UTTAR PRADESH","10","31","6.4","7.9","6.1","8.1","1080","1642","7.2","12.0","","","4000","13000","9200","21000","",""
"5515","NAWABGANJ BIRD SANCTUARY","LAKE","UTTAR PRADESH","21","31","4.7","6.4","7.2","7.9","5","1028","5.1","7.5","0.30","0.90","9300","130000","12000","240000","",""
"5516","SANDI BIRD SANCTUARY","LAKE","UTTAR PRADESH","19","30","4.3","6.2","7.3","7.8","505","1276","5.1","6.4","0.30","1.16","2400","9300","5400","13000","",""
"5551","SARSAI NAWAR JHEEL ,ETAWAH","LAKE","UTTAR PRADESH","13","33","6.1","6.7","7.5","7.9","268","703","7.6","10.8","","","4300","13000","22000","43000","",""
"2500","MAAHIL POND, URAI TEHSIL,
JALAUN","POND","UTTAR PRADESH","14","35","3.3","6.9","7.2","8.5","334","1846","3.6","9.0","","","","","","","",""
"2501","LAXMI POND, JHANSI","POND","UTTAR PRADESH","14","35","3.5","6.7","7.2","8.5","831","1757","3.5","9.0","","","","","","","",""
"1362","NAINI LAKE AT NAINITAL
(WATER INTAKE POINT)","LAKE","UTTARAKHAND","12","18","7.2","9.0","7.3","7.9","420","480","1.4","2.2","0.32","0.44","70","110","110","170","2","7"
"3437","BHEEMTAL LAKE,DISTRICT-
NAINITAL","LAKE","UTTARAKHAND","13","19","7.4","8.6","7.2","7.6","190","240","1.2","2.0","0.33","0.42","79","110","110","170","2","8"
"1765","RABINDRASAROVAR NATIONAL
LAKE, CALCUTTA, WEST BENGAL","LAKE","WEST BENGAL","21","33","6.5","9.3","6.9","9.0","247","360","2.8","4.1","0.32","0.76","78","1700","220","3300","",""
"2503","HATISHALA GHAT ON
DUDHPUKUR AT TARAKESHWAR,
HOOGHLY","LAKE","WEST BENGAL","19","34","6.2","13.0","7.0","8.6","542","1090","4.0","7.0","0.30","2.01","1300","17000","7000","46000","",""
"2504","MAINH GHAT ON DUDHPUKUR
AT TARAKESHWAR, HOOGHLY","LAKE","WEST BENGAL","19","34","6.3","13.5","7.1","8.5","544","1119","4.8","7.6","0.30","1.32","2300","28000","13000","79000","",""
"2519","KOCHBIHAR LAKE (SAGAR
DIGHI), COOCHBEHAR","LAKE","WEST BENGAL","18","31","6.6","8.2","7.0","7.9","42","70","1.0","2.7","0.30","2.23","80","5000","170","14000","",""
"2520","MIRIKH LAKE, DARJEELING","LAKE","WEST BENGAL","9","26","6.0","7.3","6.5","7.8","78","170","2.1","4.6","0.30","4.03","2200","8000","11000","22000","",""
"2521","WATER RESERVIOR AT DELO
LAKE, DARJELLING","LAKE","WEST BENGAL","9","24","7.8","8.4","7.2","7.9","10","27","1.0","1.6","0.30","1.53","70","90","110","140","",""
"2522","SINCHAL LAKE FOR DARJEELING","LAKE","WEST BENGAL","6","16","6.8","8.8","6.1","7.7","13","41","1.0","1.9","0.30","1.45","20","90","70","170","",""
"2539","BELBONI LAKE NEAR BARJORA,
BANKURA","LAKE","WEST BENGAL","21","33","7.2","8.9","7.2","8.2","251","437","1.3","1.8","0.30","3.62","200","1400","450","2100","",""
"2544","SAHEBBANDH AT PURULIA","LAKE","WEST BENGAL","19","35","8.2","10.6","7.0","8.2","462","710","2.8","6.2","0.30","1.16","400","1700","780","2200","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4720","LAKE RASIKBHEEL AT
COOCHBEHAR","LAKE","WEST BENGAL","14","30","5.4","8.0","6.9","7.9","47","103","1.2","2.7","0.30","0.74","1100","5000","2200","11000","",""
"4725","WATER RESERVIOR ST. HELENS
SCHOOL","LAKE","WEST BENGAL","7","19","6.5","8.8","6.1","7.9","12","2433","1.0","2.2","0.30","5.95","70","110","110","170","",""
"4729","JOREPOKHARI LAKE AT
SUKHIAPOKHARI","LAKE","WEST BENGAL","6","20","6.0","8.6","6.5","7.9","18","68","1.0","2.6","0.30","0.53","40","80","70","170","",""
